"Id","Response"
1,5
3,4
4,6
9,7
12,7
13,7
21,7
28,8
30,5
36,7
38,8
43,6
45,3
48,8
50,5
51,8
54,7
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,7
84,6
86,8
89,8
90,4
92,7
98,6
100,2
105,4
115,8
119,2
124,2
127,8
133,7
140,4
141,8
143,2
151,3
154,8
157,8
163,4
166,2
168,8
170,8
173,8
180,6
182,8
184,6
185,7
195,8
196,6
197,5
212,5
213,8
219,8
225,4
227,5
232,5
239,5
247,6
251,5
254,5
261,6
264,6
267,8
272,8
275,8
277,4
283,6
284,2
287,7
291,8
293,5
294,4
305,7
307,4
309,8
311,5
322,3
323,3
326,6
330,2
335,8
337,7
338,4
341,1
346,5
348,5
352,3
356,8
358,3
366,6
369,5
373,5
375,4
381,6
384,8
386,5
396,7
397,2
399,6
405,8
412,6
417,4
421,5
425,8
427,8
430,4
432,5
433,8
436,8
438,7
441,8
442,5
444,5
446,8
448,8
450,5
454,8
465,8
470,6
472,4
475,8
484,8
495,8
497,8
498,8
501,5
502,5
505,8
515,2
516,5
527,8
529,2
531,8
533,5
537,2
541,8
546,8
548,4
549,8
550,6
553,6
559,7
561,4
564,2
574,5
578,6
579,6
580,8
582,5
584,8
588,5
596,4
602,4
603,4
613,7
614,2
619,8
620,7
624,3
625,8
628,4
630,5
635,6
636,6
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,7
667,8
670,8
672,6
674,8
676,6
684,8
685,5
693,2
694,8
700,2
702,6
703,6
705,6
711,8
718,2
722,8
726,6
727,5
732,8
735,8
740,3
748,7
750,6
751,8
756,7
762,6
766,8
770,6
771,3
779,7
782,4
784,8
793,6
798,5
800,5
801,8
805,6
807,2
813,8
819,8
820,6
822,8
823,7
833,8
834,5
842,2
845,6
856,5
860,5
864,2
869,8
872,8
877,4
878,8
893,6
894,8
896,6
899,7
900,7
911,2
914,8
917,1
919,7
923,2
925,5
926,4
934,6
938,8
940,6
955,5
956,6
971,7
973,8
978,7
979,8
981,8
988,7
990,8
992,4
996,8
997,5
999,5
1000,8
1006,7
1009,2
1018,5
1025,4
1038,8
1042,8
1045,5
1046,8
1047,4
1050,5
1052,8
1054,8
1057,7
1061,3
1069,5
1071,6
