"Id","Response"
1,1
3,1
4,1
9,1
12,1
13,1
21,4
28,3
30,4
36,1
38,1
43,3
45,1
48,2
50,1
51,1
54,1
55,1
59,2
62,1
63,1
66,1
69,3
82,2
83,2
84,1
86,5
89,6
90,1
92,3
98,1
100,1
105,1
115,1
119,1
124,1
127,3
133,2
140,3
141,1
143,3
151,1
154,1
157,4
163,1
166,1
168,2
170,1
173,1
180,1
182,5
184,3
185,1
195,1
196,1
197,2
212,3
213,5
219,3
225,1
227,3
232,1
239,1
247,5
251,1
254,3
261,1
264,4
267,1
272,1
275,3
277,3
283,1
284,1
287,3
291,4
293,1
294,1
305,6
307,6
309,4
311,1
322,1
323,2
326,2
330,1
335,1
337,3
338,1
341,1
346,1
348,2
352,1
356,1
358,1
366,2
369,1
373,6
375,5
381,1
384,1
386,1
396,1
397,1
399,4
405,3
412,2
417,1
421,1
425,2
427,1
430,8
432,2
433,3
436,3
438,4
441,4
442,1
444,1
446,1
448,2
450,1
454,2
465,2
470,1
472,1
475,4
484,4
495,2
497,3
498,1
501,2
502,1
505,3
515,1
516,4
527,2
529,1
531,3
533,1
537,1
541,1
546,3
548,5
549,2
550,3
553,2
559,8
561,1
564,1
574,1
578,2
579,4
580,2
582,3
584,1
588,2
596,1
602,3
603,2
613,2
614,1
619,4
620,3
624,1
625,5
628,1
630,3
635,1
636,3
637,2
641,4
644,1
648,4
654,4
658,3
664,1
666,2
667,1
670,2
672,1
674,4
676,2
684,4
685,1
693,1
694,4
700,1
702,4
703,1
705,4
711,1
718,1
722,2
726,2
727,3
732,5
735,7
740,1
748,3
750,2
751,7
756,6
762,1
766,1
770,3
771,1
779,2
782,1
784,2
793,2
798,1
800,1
801,1
805,5
807,1
813,3
819,3
820,3
822,7
823,2
833,3
834,3
842,1
845,1
856,1
860,1
864,2
869,1
872,1
877,1
878,2
893,1
894,6
896,1
899,3
900,6
911,1
914,3
917,1
919,1
923,1
925,3
926,1
934,4
938,1
940,3
955,2
956,2
971,1
973,6
978,6
979,6
981,4
988,4
990,1
992,1
996,2
997,1
999,1
1000,3
1006,1
1009,1
1018,1
1025,1
1038,2
1042,1
1045,2
1046,1
1047,4
1050,1
1052,1
1054,1
1057,1
1061,1
1069,1
1071,2
1073,2
1074,4
1075,2
1083,3
1084,1
1089,1
1099,1
1103,1
1110,3
1123,4
1130,6
1135,2
1137,1
1145,2
1147,1
1152,8
1153,2
1154,4
1158,1
1166,6
1170,1
1172,1
1178,5
1179,1
1181,1
1182,2
1183,4
1191,1
1192,1
1200,1
1205,1
1207,1
1208,1
1209,3
1217,1
1223,1
1225,3
1226,1
1228,1
1230,1
1232,1
1235,6
1237,1
1257,3
1266,1
1267,2
1274,3
1277,1
1278,1
1280,4
1282,3
1293,2
1294,1
1305,3
1306,1
1311,1
1318,1
1320,1
1323,1
1325,1
1328,1
1336,1
1340,1
1341,3
1344,1
1345,4
1348,1
1358,2
