"Id","Response"
9,8
12,8
197,3
287,8
323,2
356,8
369,3
433,8
441,8
771,1
919,8
992,3
1137,8
1145,8
1237,8
1305,8
1441,8
1547,8
1585,8
1639,6
1661,8
1712,8
1766,8
1939,8
2224,8
2267,5
2287,8
2309,5
2347,8
2420,8
2748,2
2821,8
2853,8
2967,8
3109,8
3154,8
3483,8
3547,2
3597,8
3608,8
3647,2
3706,8
3773,8
3837,8
3883,8
3923,5
4046,8
4086,8
4197,8
4206,2
4263,8
4271,3
4732,5
5029,1
5039,8
5126,8
5312,8
5316,6
5371,8
5398,8
5400,8
5402,8
5482,8
5633,1
5951,8
5960,8
6009,2
6034,1
6091,8
6111,1
6142,1
6144,2
6312,8
6343,8
6384,2
6401,2
6499,6
6524,8
6685,2
6746,8
6833,2
6853,5
6960,8
6983,1
7027,1
7162,8
7246,8
7345,8
7567,8
7643,8
7692,8
7714,1
7721,8
7826,8
8219,8
8307,2
8320,8
8437,8
8569,8
8585,8
8587,2
8612,5
8719,1
8928,8
8934,8
9080,8
9084,8
9123,3
9163,3
9227,8
9421,8
9607,8
9771,8
9810,3
10070,1
10092,8
10136,6
10232,6
10289,6
10360,8
10391,8
10447,8
10467,8
10517,3
10669,8
10726,8
10788,8
10833,3
10849,8
11146,8
11188,5
11224,8
11301,8
11317,3
11433,1
11439,8
11518,1
11572,8
11939,8
11941,3
11960,8
11978,8
11992,2
12017,8
12062,8
12204,8
12261,8
12483,8
12895,8
13036,6
13140,8
13273,8
13427,2
13480,8
13522,2
13589,8
13649,8
13652,8
13720,5
13990,8
14052,8
14076,5
14090,8
14125,2
14211,8
14277,2
14474,8
14525,3
14579,1
14755,8
14863,3
14972,8
15171,1
15187,8
15254,5
15657,8
15666,8
15763,6
15882,1
16008,6
16186,6
16205,8
16277,8
16284,8
16304,8
16363,8
16390,5
16433,6
16923,8
16978,8
17193,8
17258,8
17262,8
17281,8
17456,8
17493,5
17753,8
17918,1
18013,1
18311,8
18351,6
18378,8
18460,8
18473,2
18643,1
18901,5
19050,8
19074,6
19213,8
19546,1
19556,8
19567,8
19591,5
19655,8
19658,8
19866,8
19909,1
19910,6
19956,8
20187,5
20224,8
20237,2
20300,2
20477,8
20507,8
20522,3
20646,5
20751,8
21011,8
21094,8
21141,8
21287,8
21354,8
21480,1
21506,1
21722,8
