"Id","Response"
9,7
12,7
197,5
287,7
323,4
356,7
369,4
433,7
441,8
771,2
919,7
992,4
1137,7
1145,8
1237,7
1305,7
1441,7
1547,6
1585,7
1639,6
1661,7
1712,8
1766,7
1939,7
2224,7
2267,5
2287,7
2309,5
2347,8
2420,7
2748,4
2821,7
2853,7
2967,7
3109,6
3154,6
3483,8
3547,4
3597,7
3608,8
3647,4
3706,8
3773,6
3837,6
3883,7
3923,5
4046,7
4086,8
4197,7
4206,4
4263,7
4271,5
4732,5
5029,3
5039,7
5126,8
5312,8
5316,6
5371,7
5398,8
5400,6
5402,8
5482,6
5633,3
5951,7
5960,7
6009,4
6034,3
6091,7
6111,3
6142,3
6144,4
6312,8
6343,8
6384,4
6401,4
6499,6
6524,7
6685,3
6746,7
6833,4
6853,6
6960,7
6983,3
7027,2
7162,8
7246,6
7345,7
7567,7
7643,8
7692,6
7714,3
7721,8
7826,7
8219,7
8307,4
8320,7
8437,8
8569,7
8585,7
8587,4
8612,5
8719,3
8928,7
8934,8
9080,7
9084,8
9123,5
9163,5
9227,8
9421,6
9607,7
9771,7
9810,5
10070,3
10092,8
10136,6
10232,6
10289,6
10360,6
10391,8
10447,6
10467,8
10517,4
10669,7
10726,7
10788,7
10833,5
10849,7
11146,6
11188,5
11224,7
11301,7
11317,4
11433,3
11439,7
11518,3
11572,7
11939,8
11941,4
11960,7
11978,8
11992,4
12017,7
12062,7
12204,8
12261,7
12483,7
12895,8
13036,6
13140,7
13273,8
13427,4
13480,7
13522,4
13589,7
13649,7
13652,7
13720,5
13990,7
14052,7
14076,5
14090,8
14125,4
14211,8
14277,4
14474,8
14525,4
14579,3
14755,7
14863,4
14972,8
15171,2
15187,6
15254,5
15657,6
15666,7
15763,6
15882,3
16008,6
16186,6
16205,7
16277,7
16284,6
16304,7
16363,7
16390,5
16433,6
16923,8
16978,7
17193,7
17258,7
17262,6
17281,6
17456,7
17493,5
17753,8
17918,3
18013,3
18311,6
18351,6
18378,6
18460,8
18473,3
18643,3
18901,5
19050,7
19074,6
19213,8
19546,1
19556,7
19567,7
19591,5
19655,8
19658,8
19866,7
19909,2
19910,6
19956,7
20187,5
20224,7
20237,4
20300,4
20477,8
20507,7
20522,5
20646,5
20751,8
21011,7
21094,7
21141,7
21287,7
21354,8
21480,2
21506,3
21722,7
21752,7
21881,8
22029,3
22040,7
22115,7
22128,7
22163,4
22223,6
22292,6
22348,6
22358,6
22744,5
23234,5
23252,7
23330,7
23448,5
23462,4
23601,6
23607,4
23628,3
23973,7
24164,6
24204,5
24214,3
24253,5
24265,8
24286,6
24310,7
24370,3
24420,6
24560,7
24595,7
24604,7
24673,8
24786,6
24899,8
24901,7
24914,6
25451,8
25471,6
25498,7
25512,6
25608,8
25677,6
25707,6
25733,7
25757,5
25775,8
25857,7
25926,6
25986,8
26063,6
26167,6
26240,4
26258,8
26405,7
26465,6
26642,5
26656,7
26685,5
26796,7
26876,7
26942,7
26964,3
27072,8
27089,7
27111,6
27506,5
27597,6
27634,7
27712,6
27788,7
27847,5
28009,6
28164,6
28286,7
28669,8
28752,6
28761,7
28765,6
28786,5
29004,5
29028,5
29152,7
29232,8
29301,4
29395,3
29720,4
29727,7
29742,4
29749,4
29757,3
29811,5
29830,7
29886,7
29919,2
30152,5
30284,7
30294,8
30304,6
30337,7
30340,7
30345,7
30614,6
30630,7
30805,8
31009,5
31030,5
31067,6
31077,6
31139,6
31172,8
31207,8
31399,6
31434,8
31531,3
31730,5
31876,7
31938,4
31994,3
32151,8
32190,8
32472,5
32598,6
32702,5
32958,4
33298,7
33445,7
33529,6
33632,7
33864,6
33870,6
34038,6
34262,7
34340,8
34409,8
34549,5
34578,3
34687,7
34722,3
34733,8
34773,6
34814,7
35043,6
35101,7
35111,7
35176,7
35182,6
35191,5
35241,8
35272,7
35347,3
35582,4
36029,8
36174,5
36269,3
36447,5
36745,6
36956,6
37045,7
37050,7
37055,7
37112,6
37165,7
37373,8
37378,7
37392,7
37417,4
37480,5
37733,7
37738,7
37746,7
37782,6
37830,7
37892,6
37976,4
38018,5
38154,8
38356,7
38503,4
38637,8
38750,7
38978,7
39087,3
39115,4
39208,6
39293,6
39316,7
39339,7
39406,4
39429,6
39464,7
39693,4
39907,7
39944,5
39967,8
40042,6
40211,4
40212,7
40262,7
40282,8
40320,5
40368,2
40413,7
40548,8
40630,4
40735,7
40745,7
40864,7
41008,6
41029,8
41053,7
41120,3
41169,6
41302,7
41396,7
41531,7
41676,7
41716,7
41735,4
41753,4
42071,5
42084,7
42121,6
42170,7
42206,5
42302,7
42322,4
42756,7
42918,6
42964,3
43048,5
43155,3
43309,5
43350,4
43431,6
43444,5
43665,7
43786,7
43825,7
44188,7
44236,2
44494,4
44499,7
44569,8
44592,8
44626,8
44667,2
44769,7
44839,7
44840,7
44844,6
45071,3
45301,4
45345,7
45464,3
45496,5
45747,5
45880,7
45890,8
45910,8
46110,7
46295,3
46343,6
46436,8
46517,8
46663,7
46683,8
46809,6
46830,3
46974,4
46982,4
47231,8
47250,4
47286,7
47304,7
47310,7
47315,7
47395,8
47402,5
47414,7
47531,7
47560,7
47611,4
47828,8
47969,5
48082,3
48296,8
48360,6
48420,5
48425,7
48480,6
48491,1
48549,6
48719,8
48759,5
48801,5
49011,6
49036,6
49131,3
49170,8
49277,5
49293,8
49313,7
49317,8
49360,7
49432,7
49577,5
49635,8
49664,3
49993,7
50079,7
50128,7
50239,7
50325,7
50460,3
50461,6
50532,8
50681,7
50700,5
50713,7
50809,5
51336,8
51396,4
51398,7
51507,5
51523,5
51569,4
51688,7
51717,2
51865,7
51884,6
51943,8
52054,7
52182,6
52225,8
52272,8
52547,7
52589,7
52634,3
52713,5
52734,6
52806,7
52839,6
52889,8
53253,7
53387,8
53420,7
53436,7
53546,7
53660,7
53860,8
54146,8
54205,3
54235,6
54291,8
54411,7
54560,7
54619,7
54878,7
54890,5
54970,8
54989,4
55144,8
55158,6
55275,8
55287,7
55499,6
55747,8
55776,5
55880,5
56003,8
56186,8
56224,4
56262,7
56300,6
56330,8
56442,7
56620,3
56627,4
56639,8
56735,8
57007,6
57018,8
57069,8
57118,7
57345,8
57450,8
57552,8
57681,8
57699,8
57889,4
58064,7
58194,6
58200,7
58203,6
58302,6
58307,7
58313,8
58316,8
58450,7
58549,7
58551,8
58672,1
58892,4
59112,6
59122,8
59127,6
59147,6
59446,4
59459,5
59570,6
59587,8
59708,3
59846,5
59973,5
60016,4
60024,7
60112,6
60263,5
60270,6
60322,5
60368,8
60960,7
61028,5
61050,6
61051,7
61244,7
61349,7
61436,3
61570,7
61614,8
61676,4
61757,4
61765,5
61775,8
61833,8
61852,7
61945,6
62004,7
62113,7
62125,6
62162,4
62233,8
62368,8
62440,3
62461,7
62507,8
62539,3
62544,7
62551,5
62576,7
62719,6
62846,7
62947,4
62976,7
63063,5
63066,8
63235,8
63275,7
63413,8
63491,8
63502,6
63590,8
63595,7
63674,7
63714,4
64042,7
64276,8
64312,4
64514,8
64564,7
64627,6
65086,8
65151,8
65177,6
65411,7
65456,7
65481,7
65509,4
65725,8
65807,4
66086,5
66198,3
66360,7
66451,6
66705,8
66815,5
66969,7
66973,7
66986,6
67011,7
67053,6
67223,7
67329,7
67332,7
67380,7
67387,3
67404,8
67572,7
67601,7
67714,7
67778,7
67824,6
67838,4
67941,4
68033,6
68074,6
68524,5
68646,3
68657,7
68723,7
68820,7
68839,4
68852,6
68867,7
69095,4
69097,2
69143,7
69279,7
69595,6
69736,6
69781,7
69958,6
70123,5
70347,5
70381,7
70457,7
70547,5
70555,2
70655,7
70709,7
70822,8
70869,7
70984,8
71012,6
71021,2
71022,7
71052,6
71137,7
71222,7
71275,7
71477,7
71515,8
71731,5
72040,7
72057,8
72071,3
72190,5
72432,6
72570,5
72623,8
72625,7
72674,7
72723,6
72780,7
72897,5
73047,7
73191,2
73264,8
73478,7
73531,7
73533,7
73613,6
73622,6
73725,7
73731,8
73857,7
73934,7
74003,7
74013,7
74091,8
74287,7
74356,3
74381,8
74424,7
74588,5
74715,7
74748,5
74750,7
74757,5
74758,7
74782,7
74985,8
75134,5
75183,7
75485,8
75732,6
75799,1
75831,6
76242,8
76266,7
76515,4
76519,8
76595,4
76734,5
76883,7
76898,5
76900,8
76981,8
77074,8
77259,8
77261,5
77266,6
77353,7
77513,4
77556,5
77590,3
77852,7
77903,4
77904,6
77909,2
77948,5
78033,4
78072,8
78256,7
78342,4
78429,8
78768,8
79027,3
3,6
54,6
309,6
553,7
582,5
596,5
625,7
694,7
800,6
978,7
988,7
1130,7
1208,3
1293,6
1361,8
1419,5
1428,7
1520,6
1530,7
1576,4
1618,5
1648,6
1683,4
1693,7
1823,7
1902,6
1942,4
2045,7
2087,7
2179,5
2275,3
2307,5
2524,5
2851,6
2935,7
3008,7
3199,4
3274,6
3327,7
3334,8
3498,7
3601,5
3753,5
3761,7
3792,7
3873,5
3879,7
3959,6
3969,7
3993,7
4061,7
4096,2
4201,6
4270,3
4411,3
4438,7
4503,4
4612,5
4646,4
4655,7
4669,8
4711,6
4753,7
4797,6
4870,6
4995,1
5055,5
5072,6
5093,6
5395,7
5432,6
5731,6
5776,6
6030,3
6090,5
6121,5
6143,5
6204,6
6260,4
6261,6
6347,5
6372,7
6390,6
6593,6
6663,7
6707,5
6709,8
6763,4
6832,5
6862,5
6950,8
7098,6
7169,3
7210,7
7295,6
7392,7
7394,7
7471,3
7511,7
7513,4
7530,6
7636,7
7811,6
7814,6
7914,7
7967,1
7975,6
8035,6
8072,5
8145,6
8172,2
8178,2
8350,5
8518,5
8554,6
8595,6
8621,6
8633,7
8972,6
8978,3
9090,4
9237,6
9291,7
9495,3
9512,7
9549,4
9714,6
9818,7
10073,4
10113,7
10117,5
10166,3
10206,5
10273,6
10291,7
10333,5
10536,7
10551,4
10633,3
10837,2
10846,4
10892,6
11050,7
11077,5
11088,5
11112,2
11203,4
11246,6
11258,6
11342,5
11386,6
11424,4
11725,5
11754,5
11947,5
12147,8
12182,2
12198,7
12209,4
12215,5
12230,7
12268,7
12417,6
12457,8
12681,6
12716,6
13080,7
13186,7
13271,4
13344,5
13371,7
13451,5
13454,2
13644,4
13732,7
13736,5
13756,5
13912,7
14016,7
14035,7
14124,4
14208,4
14228,3
14257,5
14260,6
14650,7
14849,5
14858,4
14898,7
15108,5
15113,4
15342,5
15416,5
15450,4
15494,7
15520,3
15572,6
15592,8
15656,5
15667,6
15781,6
15784,7
15824,5
15905,7
15925,5
15985,1
15988,7
16031,4
16044,4
16061,4
16081,6
16201,3
16259,6
16345,5
16392,4
16420,4
16507,6
16619,7
16927,8
17120,2
17213,4
17261,5
17287,7
17314,5
17458,5
17571,5
17670,7
17744,6
17752,2
17811,6
17830,7
17859,6
17941,5
18010,3
18034,5
18106,8
18111,7
18127,7
18223,6
18225,5
18285,7
18292,4
18443,8
18480,5
18509,5
18521,6
18549,3
18784,4
18819,5
18846,6
18957,4
19008,5
19010,7
19032,3
19073,3
19180,3
19594,4
19598,7
19642,4
19692,6
19748,5
19796,5
19907,5
19996,7
20125,6
20133,3
20146,7
20170,5
20204,7
20226,5
20240,7
20394,3
20487,5
20530,3
20579,3
20597,7
20666,5
20833,5
20887,4
20945,7
21061,8
21089,6
21221,5
21286,2
21340,4
21444,4
21559,2
21665,2
21666,3
21726,2
21953,8
22099,6
22226,4
22301,4
22346,3
22359,2
22428,5
22458,6
22547,5
22574,6
22588,6
22590,2
22815,7
22836,5
22879,6
22903,5
22934,7
23008,7
23041,4
23060,7
23141,3
23194,6
23247,5
23366,4
23429,7
23522,7
23581,4
23679,2
23681,4
23687,3
23704,5
23878,5
23935,5
24014,5
24076,7
24096,5
24213,5
24259,7
24380,3
24472,3
24500,2
24504,7
24529,6
24707,6
24715,6
24726,5
24776,4
24782,4
24926,5
24939,5
25031,6
25071,7
25097,6
25216,6
25373,7
25393,5
25442,5
25496,4
25502,5
25542,6
25613,5
25747,7
25812,6
25852,3
25886,7
25888,7
25931,8
26124,1
26274,5
26445,5
26462,7
26542,5
26798,5
26966,7
27148,6
27163,5
27205,3
27356,7
27383,6
27468,5
27494,6
27528,3
27577,6
27855,5
27927,6
27977,5
28031,4
28055,8
28363,8
28470,3
28533,6
28629,4
28654,5
28716,4
28791,7
29008,4
29071,7
29111,8
29166,4
29198,6
29215,6
29441,3
29456,2
29459,6
29491,4
29577,6
29629,2
29642,6
29650,6
29712,7
29861,4
29864,5
29947,4
29951,7
29952,5
29986,7
30035,6
30059,5
30071,5
30108,5
30187,7
30223,7
30414,5
30452,5
30475,7
30481,6
30516,7
30557,5
30639,3
30829,4
30909,5
30914,7
30917,6
30918,5
30950,8
30958,6
30967,7
31020,7
31137,7
31174,6
31188,6
31213,3
31276,6
31295,8
31389,7
31433,6
31499,7
31599,3
31686,6
31727,4
31966,8
32014,7
32048,7
32178,5
32253,6
32286,6
32453,8
32617,2
32657,7
32663,7
32777,7
32793,6
32964,7
32967,4
33203,4
33425,7
33526,5
33620,7
33729,7
33747,2
33804,5
33824,6
33841,7
34019,4
34081,6
34100,3
34183,3
34191,5
34209,7
34483,8
34750,7
34881,8
34949,8
34978,5
35038,7
35069,5
35103,8
35160,6
35172,7
35210,4
35218,7
35366,7
35376,5
35397,6
35506,7
35567,4
35613,5
35666,2
35758,5
35770,6
35917,5
36046,5
36066,7
36093,7
36094,2
36161,4
36172,2
36424,3
36466,8
36840,4
36897,1
36929,5
37199,2
37268,6
37271,6
37469,4
37497,6
37501,5
37646,6
37685,6
37967,5
38011,6
38028,7
38060,6
38328,7
38409,4
38505,7
38518,6
38642,7
38733,6
38927,5
39076,5
39228,3
39319,6
39414,6
39432,4
39466,6
39475,6
39477,3
39504,3
39786,5
39867,7
40043,6
40146,6
40182,5
40434,6
40538,4
40574,3
40579,8
40599,7
40624,5
40658,7
40693,7
40823,6
40907,5
40929,4
40971,7
40993,5
41015,7
41046,5
41242,5
41260,7
41410,7
41478,7
41485,7
41647,4
41708,8
41882,5
42019,7
42102,6
42200,4
42403,5
42440,3
42577,4
42612,4
42618,2
42732,5
42829,6
42837,4
42861,4
42883,7
42936,3
42937,6
42959,3
42993,6
43002,7
43103,2
43105,2
43352,2
43403,4
43428,7
43497,6
43552,6
43599,4
43624,6
43646,4
43741,4
43811,7
43892,3
43967,7
43972,6
44003,6
44038,3
44041,7
44103,7
44119,4
44132,5
44133,6
44216,7
44294,7
44466,4
44515,5
44644,4
44653,4
44671,6
44692,5
44992,4
45032,7
45095,3
45175,4
45295,5
45325,4
45450,5
45460,4
45472,2
45576,4
45727,2
45771,7
45774,5
45797,5
45846,6
45852,6
45869,5
45879,6
45895,6
45987,6
46093,7
46181,5
46218,5
46305,7
46371,7
46406,7
46437,4
46467,8
46669,6
46727,4
46881,4
46892,6
46897,7
46931,3
46973,7
47050,7
47102,5
47110,7
47118,4
47128,5
47239,7
47296,6
47303,7
47340,2
47421,7
47429,6
47629,6
47641,3
47643,6
47651,7
47741,5
47747,6
47959,5
47992,6
48075,7
48162,5
48254,5
48293,7
48418,3
48727,5
48736,7
48774,1
48911,6
49583,7
49685,4
49966,4
49973,3
49982,6
50157,4
50345,4
50361,6
50546,7
50575,4
50649,7
50678,2
50705,6
50803,1
50893,7
50931,3
51014,7
51083,7
51105,4
51137,4
51201,7
51329,7
51599,2
51684,3
51736,8
51751,4
51801,7
51945,5
51954,6
51973,4
52031,7
52047,5
52143,7
52176,7
52207,6
52340,6
52489,6
52561,5
52606,4
52699,5
52793,6
52951,6
52976,8
53066,7
53154,6
53187,7
53202,6
53294,8
53316,2
53334,4
53438,6
53480,5
53533,5
53675,3
53727,5
53862,4
53957,6
53958,5
53959,7
54009,6
54028,7
54139,4
54149,4
54163,7
54169,6
54194,4
54409,4
54492,8
54551,3
54618,7
54800,6
54866,7
54879,3
55007,5
55029,3
55199,2
55381,6
55401,7
55490,7
55491,3
55580,2
55668,4
55709,3
55842,7
55853,7
55872,6
55978,5
56035,1
56050,3
56107,7
56111,4
56132,6
56146,6
56155,3
56160,2
56216,4
56288,4
56328,7
56349,4
56485,7
56529,3
56586,4
56624,6
56804,7
56819,7
56836,6
56866,4
56945,5
56950,6
56973,2
57017,2
57064,7
57072,5
57128,6
57319,5
57332,6
57379,5
57405,3
57485,1
57549,3
57566,7
57737,7
57750,7
58059,5
58086,5
58334,6
58380,4
58598,5
58615,8
59062,7
59277,5
59400,3
59406,7
59523,7
59607,5
59656,5
59690,7
59739,7
59782,6
59788,6
59821,8
59888,1
59969,6
59983,7
59992,6
60001,6
60048,6
60128,5
60358,3
60403,4
60501,7
60600,3
60621,6
60646,4
60739,7
60752,5
60802,7
60824,5
60843,3
60945,5
61002,6
61040,5
61082,7
61190,3
61227,7
61388,5
61446,7
61450,5
61464,7
61523,6
61524,1
61653,7
61740,5
61960,6
62145,5
62290,7
62304,6
62400,7
62484,5
62505,5
62511,4
62556,7
62566,6
62657,5
62671,6
62685,6
62999,8
63007,6
63122,4
63299,5
63309,6
63336,4
63427,5
63442,8
63473,3
63515,3
63527,2
63689,7
63731,6
63732,7
63772,6
63801,4
63807,5
63837,3
63912,6
63945,7
64103,3
64157,4
64208,7
64243,1
64258,5
64296,3
64379,4
64394,7
64412,5
64630,4
64679,6
64720,8
64817,7
64848,7
64881,3
64944,5
65009,6
65137,3
65162,7
65324,7
65394,7
65438,3
65463,5
65465,4
65602,6
65621,7
65819,5
65831,6
65980,5
66012,8
66091,7
66141,6
66352,5
66484,8
66604,7
66663,6
66913,3
66976,6
67026,6
67066,7
67110,4
67218,6
67239,7
67252,4
67304,5
67335,5
67373,3
67385,7
67440,7
67478,7
67479,3
67653,7
67660,7
67705,5
67843,6
67847,7
67925,6
67985,3
68239,4
68241,5
68252,7
68264,7
68267,6
68320,6
68360,7
68499,7
