"Id","Response"
9,6
12,7
197,6
287,7
323,3
356,7
369,3
433,8
441,8
771,1
919,7
992,5
1137,8
1145,8
1237,5
1305,8
1441,8
1547,6
1585,7
1639,7
1661,6
1712,8
1766,7
1939,7
2224,7
2267,4
2287,7
2309,6
2347,8
2420,8
2748,4
2821,6
2853,8
2967,7
3109,7
3154,6
3483,8
3547,4
3597,7
3608,8
3647,3
3706,8
3773,7
3837,6
3883,8
3923,6
4046,8
4086,8
4197,8
4206,2
4263,7
4271,3
4732,6
5029,2
5039,7
5126,8
5312,8
5316,6
5371,7
5398,8
5400,7
5402,8
5482,7
5633,2
5951,7
5960,7
6009,3
6034,2
6091,6
6111,2
6142,2
6144,5
6312,8
6343,8
6384,2
6401,3
6499,6
6524,8
6685,3
6746,7
6833,4
6853,5
6960,8
6983,2
7027,1
7162,8
7246,7
7345,7
7567,8
7643,8
7692,7
7714,3
7721,8
7826,7
8219,6
8307,2
8320,7
8437,7
8569,7
8585,7
8587,3
8612,6
8719,3
8928,6
8934,8
9080,8
9084,8
9123,6
9163,6
9227,8
9421,6
9607,7
9771,8
9810,7
10070,3
10092,8
10136,6
10232,6
10289,6
10360,7
10391,8
10447,6
10467,8
10517,5
10669,8
10726,7
10788,6
10833,5
10849,8
11146,7
11188,5
11224,8
11301,6
11317,3
11433,2
11439,7
11518,1
11572,8
11939,8
11941,4
11960,7
11978,7
11992,3
12017,7
12062,6
12204,8
12261,7
12483,7
12895,8
13036,6
13140,8
13273,8
13427,4
13480,7
13522,3
13589,7
13649,8
13652,7
13720,6
13990,7
14052,7
14076,5
14090,8
14125,2
14211,8
14277,2
14474,8
14525,5
14579,2
14755,8
14863,4
14972,8
15171,2
15187,7
15254,7
15657,8
15666,8
15763,6
15882,3
16008,6
16186,7
16205,7
16277,6
16284,5
16304,8
16363,8
16390,5
16433,6
16923,8
16978,7
17193,7
17258,8
17262,6
17281,7
17456,8
17493,7
17753,8
17918,2
18013,2
18311,7
18351,6
18378,6
18460,8
18473,6
18643,2
18901,4
19050,8
19074,7
19213,8
19546,1
19556,8
19567,7
19591,6
19655,8
19658,8
19866,8
19909,2
19910,6
19956,8
20187,6
20224,7
20237,3
20300,2
20477,8
20507,7
20522,4
20646,6
20751,8
21011,8
21094,6
21141,7
21287,7
21354,8
21480,2
21506,2
21722,8
21752,8
21881,8
22029,2
22040,8
22115,8
22128,7
22163,3
22223,6
22292,6
22348,6
22358,6
22744,6
23234,5
23252,7
23330,7
23448,5
23462,3
23601,6
23607,3
23628,2
23973,8
24164,6
24204,5
24214,2
24253,5
24265,7
24286,4
24310,8
24370,3
24420,5
24560,7
24595,8
24604,8
24673,8
24786,7
24899,8
24901,8
24914,6
25451,8
25471,6
25498,7
25512,8
25608,8
25677,6
25707,6
25733,6
25757,6
25775,8
25857,8
25926,5
25986,8
26063,6
26167,6
26240,2
26258,8
26405,8
26465,6
26642,6
26656,7
26685,5
26796,7
26876,7
26942,8
26964,3
27072,8
27089,7
27111,6
27506,5
27597,6
27634,7
27712,7
27788,7
27847,6
28009,6
28164,6
28286,8
28669,8
28752,6
28761,8
28765,6
28786,5
29004,6
29028,3
29152,7
29232,8
29301,3
29395,2
29720,5
29727,8
29742,2
29749,4
29757,2
29811,6
29830,8
29886,7
29919,1
30152,3
30284,8
30294,8
30304,7
30337,8
30340,8
30345,7
30614,6
30630,8
30805,8
31009,3
31030,5
31067,8
31077,5
31139,6
31172,8
31207,8
31399,7
31434,8
31531,3
31730,2
31876,8
31938,3
31994,3
32151,7
32190,8
32472,7
32598,5
32702,4
32958,2
33298,8
33445,8
33529,7
33632,7
33864,7
33870,6
34038,6
34262,7
34340,8
34409,8
34549,5
34578,2
34687,8
34722,3
34733,8
34773,7
34814,7
35043,6
35101,6
35111,6
35176,7
35182,6
35191,6
35241,7
35272,7
35347,2
35582,4
36029,8
36174,4
36269,2
36447,5
36745,6
36956,6
37045,8
37050,7
37055,7
37112,6
37165,7
37373,8
37378,8
37392,7
37417,3
37480,5
37733,7
37738,7
37746,7
37782,7
37830,6
37892,7
37976,3
38018,5
38154,8
38356,7
38503,4
38637,8
38750,7
38978,8
39087,1
39115,3
39208,6
39293,6
39316,7
39339,8
39406,4
39429,6
39464,8
39693,2
39907,8
39944,3
39967,8
40042,6
40211,5
40212,7
40262,8
40282,8
40320,3
40368,1
40413,7
40548,8
40630,3
40735,7
40745,7
40864,7
41008,6
41029,8
41053,7
41120,2
41169,6
41302,8
41396,7
41531,8
41676,7
41716,8
41735,3
41753,3
42071,5
42084,7
42121,7
42170,7
42206,6
42302,7
42322,4
42756,8
42918,6
42964,2
43048,5
43155,2
43309,5
43350,3
43431,5
43444,6
43665,7
43786,7
43825,8
44188,8
44236,1
44494,5
44499,8
44569,8
44592,8
44626,8
44667,1
44769,8
44839,7
44840,8
44844,6
45071,2
45301,6
45345,8
45464,3
45496,4
45747,6
45880,8
45890,8
45910,8
46110,7
46295,2
46343,6
46436,8
46517,8
46663,6
46683,8
46809,7
46830,1
46974,3
46982,3
47231,8
47250,3
47286,7
47304,7
47310,6
47315,8
47395,8
47402,4
47414,7
47531,7
47560,8
47611,4
47828,8
47969,6
48082,2
48296,8
48360,6
48420,6
48425,8
48480,7
48491,1
48549,6
48719,8
48759,3
48801,5
49011,6
49036,7
49131,3
49170,8
49277,3
49293,8
49313,8
49317,8
49360,8
49432,7
49577,5
49635,8
49664,2
49993,8
50079,8
50128,8
50239,6
50325,8
50460,2
50461,5
50532,8
50681,6
50700,3
50713,7
50809,6
51336,8
51396,3
51398,7
51507,5
51523,5
51569,2
51688,8
51717,3
51865,7
51884,6
51943,8
52054,7
52182,6
52225,8
52272,8
52547,8
52589,7
52634,2
52713,5
52734,7
52806,8
52839,6
52889,8
53253,8
53387,8
53420,7
53436,8
53546,7
53660,7
53860,8
54146,8
54205,1
54235,3
54291,8
54411,8
54560,7
54619,8
54878,8
54890,4
54970,8
54989,3
55144,8
55158,6
55275,8
55287,7
55499,6
55747,8
55776,6
55880,5
56003,8
56186,8
56224,2
56262,6
56300,5
56330,8
56442,6
56620,3
56627,4
56639,7
56735,8
57007,6
57018,8
57069,8
57118,7
57345,8
57450,8
57552,8
57681,8
57699,8
57889,3
58064,8
58194,6
58200,8
58203,5
58302,4
58307,8
58313,8
58316,8
58450,8
58549,7
58551,8
58672,1
58892,3
59112,7
59122,5
59127,7
59147,6
59446,6
59459,5
59570,6
59587,8
59708,3
59846,6
59973,3
60016,3
60024,8
60112,6
60263,5
60270,7
60322,6
60368,8
60960,7
61028,2
61050,6
61051,8
61244,8
61349,7
61436,2
61570,7
61614,8
61676,6
61757,3
61765,6
61775,8
61833,8
61852,7
61945,6
62004,7
62113,8
62125,7
62162,2
62233,8
62368,8
62440,2
62461,7
62507,8
62539,2
62544,8
62551,5
62576,7
62719,6
62846,7
62947,3
62976,8
63063,6
63066,8
63235,8
63275,7
63413,8
63491,8
63502,6
63590,8
63595,8
63674,8
63714,6
64042,7
64276,8
64312,3
64514,8
64564,8
64627,6
65086,8
65151,8
65177,5
65411,7
65456,8
65481,8
65509,4
65725,8
65807,2
66086,6
66198,1
66360,7
66451,6
66705,7
66815,5
66969,7
66973,8
66986,6
67011,8
67053,6
67223,8
67329,7
67332,7
67380,7
67387,2
67404,8
67572,8
67601,8
67714,7
67778,8
67824,7
67838,4
67941,6
68033,6
68074,6
68524,6
68646,1
68657,8
68723,8
68820,7
68839,7
68852,7
68867,7
69095,2
