"Id","Response"
9,6
12,8
197,5
287,7
323,3
356,8
369,4
433,8
441,8
771,2
919,7
992,4
1137,8
1145,8
1237,6
1305,8
1441,8
1547,6
1585,7
1639,6
1661,7
1712,8
1766,7
1939,7
2224,8
2267,5
2287,8
2309,5
2347,8
2420,8
2748,4
2821,7
2853,8
2967,8
3109,7
3154,7
3483,8
3547,3
3597,8
3608,8
3647,3
3706,8
3773,7
3837,6
3883,8
3923,7
4046,8
4086,8
4197,8
4206,2
4263,8
4271,3
4732,5
5029,2
5039,7
5126,8
5312,8
5316,5
5371,8
5398,8
5400,8
5402,8
5482,7
5633,1
5951,8
5960,8
6009,3
6034,2
6091,7
6111,2
6142,1
6144,3
6312,8
6343,8
6384,2
6401,3
6499,7
6524,8
6685,3
6746,8
6833,3
6853,5
6960,8
6983,2
7027,1
7162,8
7246,7
7345,8
7567,8
7643,8
7692,7
7714,3
7721,8
7826,5
8219,8
8307,2
8320,7
8437,8
8569,7
8585,8
8587,3
8612,5
8719,2
8928,7
8934,8
9080,8
9084,8
9123,5
9163,5
9227,8
9421,7
9607,8
9771,8
9810,6
10070,2
10092,8
10136,6
10232,6
10289,6
10360,6
10391,8
10447,5
10467,8
10517,4
10669,8
10726,8
10788,7
10833,4
10849,7
11146,7
11188,6
11224,8
11301,8
11317,3
11433,2
11439,6
11518,1
11572,8
11939,8
11941,4
11960,8
11978,8
11992,3
12017,8
12062,8
12204,8
12261,7
12483,7
12895,8
13036,6
13140,8
13273,8
13427,3
13480,8
13522,3
13589,7
13649,8
13652,8
13720,6
13990,7
14052,8
14076,5
14090,8
14125,3
14211,8
14277,3
14474,8
14525,4
14579,2
14755,8
14863,4
14972,8
15171,1
15187,7
15254,8
15657,7
15666,8
15763,6
15882,3
16008,6
16186,7
16205,7
16277,7
16284,6
16304,8
16363,8
16390,5
16433,6
16923,8
16978,8
17193,8
17258,8
17262,7
17281,6
17456,8
17493,6
17753,8
17918,2
18013,2
18311,7
18351,7
18378,7
18460,8
18473,4
18643,3
18901,5
19050,8
19074,8
19213,8
19546,1
19556,8
19567,8
19591,6
19655,8
19658,8
19866,8
19909,1
19910,6
19956,8
20187,5
20224,8
20237,3
20300,3
20477,8
20507,7
20522,5
20646,5
20751,8
21011,8
21094,8
21141,8
21287,7
21354,8
21480,2
21506,1
21722,8
21752,8
21881,8
22029,1
22040,8
22115,8
22128,8
22163,3
22223,7
22292,7
22348,7
22358,6
22744,6
23234,6
23252,8
23330,8
23448,5
23462,3
23601,6
23607,2
23628,1
23973,8
24164,6
24204,5
24214,1
24253,5
24265,7
24286,4
24310,7
24370,4
24420,6
24560,7
24595,8
24604,8
24673,8
24786,7
24899,8
24901,8
24914,7
25451,8
25471,7
25498,8
25512,8
25608,8
25677,5
25707,7
25733,7
25757,5
25775,8
25857,8
25926,5
25986,8
26063,6
26167,6
26240,3
26258,8
26405,8
26465,6
26642,6
26656,7
26685,5
26796,8
26876,7
26942,8
26964,3
27072,8
27089,7
27111,6
27506,4
27597,7
27634,7
27712,7
27788,8
27847,6
28009,7
28164,7
28286,8
28669,8
28752,5
28761,7
28765,6
28786,5
29004,5
29028,5
29152,8
29232,8
29301,3
29395,2
29720,5
29727,8
29742,3
29749,5
29757,1
29811,5
29830,8
29886,8
29919,1
30152,4
30284,8
30294,8
30304,8
30337,8
30340,8
30345,8
30614,6
30630,8
30805,8
31009,3
31030,5
31067,8
31077,6
31139,6
31172,8
31207,8
31399,7
31434,8
31531,2
31730,4
31876,8
31938,3
31994,3
32151,8
32190,8
32472,5
32598,6
32702,4
32958,1
33298,8
33445,7
33529,7
33632,8
33864,6
33870,7
34038,5
34262,7
34340,8
34409,8
34549,4
34578,3
34687,8
34722,1
34733,8
34773,6
34814,7
35043,7
35101,7
35111,8
35176,7
35182,7
35191,6
35241,8
35272,8
35347,1
