"Id","Response"
9,6
12,7
197,5
287,7
323,3
356,8
369,4
433,8
441,8
771,3
919,8
992,4
1137,8
1145,8
1237,5
1305,8
1441,8
1547,6
1585,8
1639,6
1661,7
1712,8
1766,7
1939,7
2224,8
2267,4
2287,7
2309,5
2347,8
2420,8
2748,4
2821,8
2853,8
2967,8
3109,7
3154,7
3483,8
3547,4
3597,8
3608,8
3647,3
3706,8
3773,7
3837,6
3883,8
3923,7
4046,8
4086,8
4197,8
4206,3
4263,8
4271,4
4732,5
5029,3
5039,7
5126,8
5312,8
5316,5
5371,8
5398,8
5400,7
5402,8
5482,7
5633,1
5951,8
5960,8
6009,4
6034,3
6091,7
6111,2
6142,1
6144,4
6312,8
6343,8
6384,3
6401,3
6499,6
6524,8
6685,3
6746,8
6833,3
6853,5
6960,8
6983,2
7027,1
7162,8
7246,7
7345,8
7567,8
7643,8
7692,7
7714,3
7721,8
7826,6
8219,8
8307,3
8320,7
8437,8
8569,7
8585,8
8587,3
8612,7
8719,3
8928,7
8934,8
9080,8
9084,8
9123,6
9163,5
9227,8
9421,7
9607,8
9771,8
9810,6
10070,3
10092,8
10136,7
10232,6
10289,6
10360,7
10391,8
10447,6
10467,8
10517,4
10669,8
10726,8
10788,7
10833,5
10849,7
11146,7
11188,6
11224,8
11301,8
11317,4
11433,3
11439,7
11518,1
11572,8
11939,8
11941,4
11960,8
11978,8
11992,4
12017,8
12062,8
12204,8
12261,7
12483,7
12895,8
13036,7
13140,8
13273,8
13427,3
13480,8
13522,4
13589,8
13649,8
13652,8
13720,6
13990,7
14052,8
14076,5
14090,8
14125,3
14211,8
14277,3
14474,8
14525,4
14579,3
14755,8
14863,4
14972,8
15171,1
15187,7
15254,8
15657,8
15666,8
15763,6
15882,3
16008,7
16186,7
16205,7
16277,7
16284,6
16304,8
16363,8
16390,4
16433,6
16923,8
16978,8
17193,8
17258,8
17262,7
17281,6
17456,8
17493,6
17753,8
17918,2
18013,2
18311,7
18351,6
18378,7
18460,8
18473,4
18643,3
18901,4
19050,8
19074,8
19213,8
19546,1
19556,8
19567,8
19591,6
19655,8
19658,8
19866,8
19909,1
19910,6
19956,8
20187,5
20224,8
20237,3
20300,3
20477,8
20507,7
20522,4
20646,5
20751,8
21011,8
21094,8
21141,8
21287,7
21354,8
21480,2
21506,2
21722,8
21752,8
21881,8
22029,1
22040,8
22115,8
22128,8
22163,3
22223,7
22292,7
22348,7
22358,6
22744,6
23234,5
23252,8
23330,8
23448,4
23462,3
23601,6
23607,3
23628,2
23973,8
24164,6
24204,4
24214,1
24253,5
24265,7
24286,4
24310,8
24370,4
24420,7
24560,7
24595,8
24604,8
24673,8
24786,8
24899,8
24901,8
24914,7
25451,8
25471,7
25498,8
25512,8
25608,8
25677,6
25707,7
25733,7
25757,5
25775,8
25857,8
25926,6
25986,8
26063,6
26167,6
26240,3
26258,8
26405,8
26465,6
26642,6
26656,8
26685,5
26796,8
26876,7
26942,8
26964,3
27072,8
27089,8
27111,6
27506,4
27597,7
27634,8
27712,7
27788,8
27847,6
28009,7
28164,7
28286,8
28669,8
28752,5
28761,7
28765,6
28786,5
29004,5
29028,5
29152,8
29232,8
29301,3
29395,2
29720,4
29727,8
29742,3
29749,4
29757,2
29811,5
29830,8
29886,8
29919,1
30152,4
30284,8
30294,8
30304,7
30337,8
30340,8
30345,8
30614,7
30630,8
30805,8
31009,3
31030,4
31067,8
31077,5
31139,6
31172,8
31207,8
31399,7
31434,8
31531,3
31730,4
31876,8
31938,3
31994,3
32151,8
32190,8
32472,5
32598,6
32702,4
32958,1
33298,8
33445,7
33529,7
33632,8
33864,6
33870,7
34038,5
34262,7
34340,8
34409,8
34549,5
34578,3
34687,8
34722,2
34733,8
34773,6
34814,7
35043,7
35101,7
35111,7
35176,8
35182,7
35191,5
35241,8
35272,8
35347,2
35582,4
36029,8
36174,5
36269,3
36447,4
36745,7
36956,5
37045,7
37050,8
37055,7
37112,6
37165,7
37373,8
37378,8
37392,8
37417,3
37480,5
37733,8
37738,7
37746,8
37782,7
37830,7
37892,6
37976,4
38018,5
38154,8
38356,7
38503,4
38637,8
38750,6
38978,8
39087,1
39115,3
39208,7
39293,7
39316,7
39339,8
39406,3
39429,6
39464,8
39693,4
39907,8
39944,4
39967,8
40042,7
40211,5
40212,7
40262,8
40282,8
40320,4
40368,1
40413,8
40548,8
40630,4
40735,8
40745,8
40864,8
41008,6
41029,8
41053,8
41120,2
41169,7
41302,8
41396,7
41531,8
41676,7
41716,8
41735,4
41753,4
42071,5
42084,7
42121,7
42170,8
42206,7
42302,8
42322,4
42756,8
42918,6
42964,1
43048,6
43155,3
43309,4
43350,4
43431,6
43444,7
43665,7
43786,8
43825,8
44188,8
44236,1
44494,4
44499,8
44569,8
44592,8
44626,8
44667,1
44769,8
44839,8
44840,8
44844,7
45071,2
45301,4
45345,8
45464,4
45496,4
45747,6
45880,8
45890,8
45910,8
46110,8
46295,3
46343,5
46436,8
46517,8
46663,7
46683,8
46809,7
46830,2
46974,6
46982,2
47231,8
47250,3
47286,7
47304,7
47310,7
47315,8
47395,8
47402,5
47414,8
47531,8
47560,8
47611,4
47828,8
47969,6
48082,1
48296,8
48360,7
48420,4
48425,8
48480,7
48491,1
48549,6
48719,8
48759,3
48801,6
49011,6
49036,6
49131,3
49170,8
49277,4
49293,8
49313,8
49317,8
49360,8
49432,8
49577,6
49635,8
49664,3
49993,8
50079,8
50128,8
50239,8
50325,8
50460,1
50461,3
50532,8
50681,7
50700,4
50713,7
50809,7
51336,8
51396,4
51398,8
51507,6
51523,6
51569,4
51688,8
51717,4
51865,8
51884,7
51943,8
52054,7
52182,5
52225,8
52272,8
52547,8
52589,8
52634,2
52713,5
52734,7
52806,7
52839,5
52889,8
53253,8
53387,8
53420,7
53436,8
53546,8
53660,8
53860,8
54146,8
54205,1
54235,4
54291,8
54411,8
54560,8
54619,8
54878,8
54890,4
54970,8
54989,4
55144,8
55158,7
55275,8
55287,8
55499,6
55747,8
55776,6
55880,5
56003,8
56186,8
56224,2
56262,7
56300,6
56330,8
56442,7
56620,3
56627,4
56639,8
56735,8
57007,5
57018,8
57069,8
57118,8
57345,8
57450,8
57552,8
57681,8
57699,8
57889,3
58064,8
58194,6
58200,8
58203,5
58302,6
58307,8
58313,8
58316,8
58450,8
58549,8
58551,8
58672,1
58892,3
59112,7
59122,8
59127,7
59147,6
59446,4
59459,4
59570,7
59587,8
59708,3
59846,5
59973,5
60016,4
60024,8
60112,7
60263,5
60270,6
60322,5
60368,8
60960,7
61028,4
61050,7
61051,8
61244,8
61349,8
61436,3
61570,8
61614,8
61676,6
61757,4
61765,5
61775,8
61833,8
61852,8
61945,6
62004,7
62113,8
62125,7
62162,3
62233,8
62368,8
62440,2
62461,8
62507,8
62539,1
62544,8
62551,5
62576,8
62719,7
62846,8
62947,3
62976,8
63063,4
63066,8
63235,8
63275,8
63413,8
63491,8
63502,6
63590,8
63595,8
63674,8
63714,5
64042,8
64276,8
64312,4
64514,8
64564,8
64627,5
65086,8
65151,8
65177,5
65411,8
65456,8
65481,8
65509,3
65725,8
65807,3
66086,6
66198,1
66360,6
66451,7
66705,8
66815,5
66969,8
66973,8
66986,8
67011,8
67053,5
67223,8
67329,7
67332,8
67380,8
67387,3
67404,8
67572,8
67601,8
67714,8
67778,8
67824,7
67838,5
67941,5
68033,7
68074,7
68524,5
68646,1
68657,8
68723,8
68820,8
68839,4
68852,6
68867,8
69095,3
