"Id","Response"
9,7
12,7
197,5
287,7
323,3
356,8
369,4
433,8
441,8
771,3
919,8
992,4
1137,8
1145,8
1237,6
1305,8
1441,8
1547,6
1585,7
1639,6
1661,7
1712,8
1766,7
1939,7
2224,8
2267,5
2287,8
2309,5
2347,8
2420,8
2748,4
2821,8
2853,8
2967,8
3109,7
3154,7
3483,8
3547,3
3597,8
3608,8
3647,3
3706,8
3773,7
3837,6
3883,8
3923,7
4046,8
4086,8
4197,8
4206,3
4263,8
4271,4
4732,5
5029,2
5039,7
5126,8
5312,8
5316,6
5371,8
5398,8
5400,7
5402,8
5482,7
5633,1
5951,8
5960,8
6009,3
6034,2
6091,7
6111,1
6142,1
6144,3
6312,8
6343,8
6384,2
6401,3
6499,7
6524,8
6685,3
6746,8
6833,3
6853,5
6960,8
6983,2
7027,1
7162,8
7246,7
7345,8
7567,8
7643,8
7692,7
7714,2
7721,8
7826,6
8219,8
8307,2
8320,7
8437,8
8569,7
8585,8
8587,3
8612,6
8719,2
8928,7
8934,8
9080,8
9084,8
9123,6
9163,5
9227,8
9421,7
9607,8
9771,8
9810,6
10070,2
10092,8
10136,6
10232,6
10289,6
10360,6
10391,8
10447,5
10467,8
10517,4
10669,8
10726,8
10788,7
10833,5
10849,7
11146,7
11188,6
11224,8
11301,8
11317,3
11433,2
11439,7
11518,1
11572,8
11939,8
11941,4
11960,8
11978,8
11992,3
12017,8
12062,8
12204,8
12261,7
12483,7
12895,8
13036,7
13140,8
13273,8
13427,3
13480,8
13522,3
13589,8
13649,8
13652,8
13720,6
13990,8
14052,8
14076,5
14090,8
14125,3
14211,8
14277,3
14474,8
14525,5
14579,2
14755,8
14863,4
14972,8
15171,1
15187,7
15254,8
15657,8
15666,8
15763,6
15882,3
16008,6
16186,7
16205,7
16277,7
16284,6
16304,8
16363,8
16390,4
16433,6
16923,8
16978,8
17193,8
17258,8
17262,7
17281,6
17456,8
17493,6
17753,8
17918,1
18013,2
18311,7
18351,7
18378,7
18460,8
18473,4
18643,3
18901,5
19050,8
19074,8
19213,8
19546,1
19556,8
19567,8
19591,6
19655,8
19658,8
19866,8
19909,1
19910,5
19956,8
20187,5
20224,8
20237,3
20300,3
20477,8
20507,7
20522,4
20646,5
20751,8
21011,8
21094,8
21141,8
21287,7
21354,8
21480,2
21506,1
21722,8
21752,8
21881,8
22029,1
22040,8
22115,8
22128,8
22163,3
22223,8
22292,7
22348,7
22358,6
22744,6
23234,5
23252,8
23330,8
23448,5
23462,3
23601,6
23607,2
23628,1
23973,8
24164,7
24204,5
24214,1
24253,5
24265,7
24286,4
24310,8
24370,4
24420,7
24560,7
24595,8
24604,8
24673,8
24786,7
24899,8
24901,8
24914,7
25451,8
25471,7
25498,8
25512,8
25608,8
25677,6
25707,7
25733,7
25757,5
25775,8
25857,8
25926,5
25986,8
26063,6
26167,6
26240,3
26258,8
26405,8
26465,5
26642,6
26656,8
26685,5
26796,8
26876,8
26942,8
26964,3
27072,8
27089,8
27111,6
27506,4
27597,7
27634,8
27712,7
27788,8
27847,6
28009,7
28164,7
28286,8
28669,8
28752,5
28761,7
28765,6
28786,5
29004,5
29028,5
29152,8
29232,8
29301,3
29395,2
29720,5
29727,8
29742,3
29749,5
29757,1
29811,5
29830,8
29886,8
29919,1
30152,4
30284,8
30294,8
30304,8
30337,8
30340,8
30345,8
30614,6
30630,8
30805,8
31009,3
31030,4
31067,8
31077,6
31139,6
31172,8
31207,8
31399,8
31434,8
31531,2
31730,3
31876,8
31938,3
31994,3
32151,8
32190,8
32472,5
32598,6
32702,4
32958,1
33298,8
33445,7
33529,7
33632,8
33864,6
33870,7
34038,6
34262,7
34340,8
34409,8
34549,4
34578,3
34687,8
34722,2
34733,8
34773,6
34814,7
35043,7
35101,7
35111,8
35176,7
35182,7
35191,6
35241,8
35272,8
35347,1
35582,4
36029,8
36174,5
36269,2
36447,4
36745,7
36956,5
37045,7
37050,8
37055,8
37112,6
37165,7
37373,8
37378,8
37392,8
37417,3
37480,5
37733,8
37738,7
37746,7
37782,7
37830,7
37892,6
37976,2
38018,5
38154,8
38356,7
38503,5
38637,8
38750,6
38978,8
39087,1
39115,3
39208,7
39293,7
39316,7
39339,8
39406,3
39429,6
39464,8
39693,4
39907,8
39944,4
39967,8
40042,7
40211,5
40212,7
40262,8
40282,8
40320,4
40368,1
40413,8
40548,8
40630,3
40735,7
40745,8
40864,8
41008,5
41029,8
41053,8
41120,1
41169,7
41302,8
41396,7
41531,8
41676,7
41716,8
41735,4
41753,4
42071,5
42084,7
42121,7
42170,8
42206,7
42302,8
42322,4
42756,8
42918,6
42964,1
43048,6
43155,2
43309,5
43350,4
43431,6
43444,6
43665,7
43786,8
43825,8
44188,8
44236,1
44494,4
44499,8
44569,8
44592,8
44626,8
44667,1
44769,8
44839,8
44840,8
44844,7
45071,1
45301,3
45345,8
45464,3
45496,5
45747,6
45880,8
45890,8
45910,8
46110,8
46295,3
46343,6
46436,8
46517,8
46663,7
46683,8
46809,7
46830,2
46974,6
46982,2
47231,8
47250,3
47286,7
47304,7
47310,7
47315,8
47395,8
47402,5
47414,8
47531,8
47560,8
47611,5
47828,8
47969,6
48082,1
48296,8
48360,8
48420,5
48425,8
48480,7
48491,1
48549,6
48719,8
48759,2
48801,6
49011,7
49036,6
49131,3
49170,8
49277,4
49293,8
49313,8
49317,8
49360,8
49432,8
49577,6
49635,8
49664,1
49993,8
50079,8
50128,8
50239,7
50325,8
50460,1
50461,3
50532,8
50681,7
50700,4
50713,8
50809,6
51336,8
51396,4
51398,8
51507,6
51523,6
51569,4
51688,8
51717,4
51865,8
51884,7
51943,8
52054,7
52182,5
52225,8
52272,8
52547,8
52589,8
52634,2
52713,5
52734,8
52806,7
52839,5
52889,8
53253,8
53387,8
53420,7
53436,8
53546,8
53660,8
53860,8
54146,8
54205,1
54235,3
54291,8
54411,8
54560,8
54619,8
54878,8
54890,4
54970,8
54989,5
55144,8
55158,7
55275,8
55287,8
55499,6
55747,8
55776,6
55880,5
56003,8
56186,8
56224,1
56262,7
56300,6
56330,8
56442,7
56620,2
56627,4
56639,8
56735,8
57007,5
57018,8
57069,8
57118,8
57345,8
57450,8
57552,8
57681,8
57699,8
57889,2
58064,8
58194,6
58200,8
58203,5
58302,6
58307,8
58313,8
58316,8
58450,8
58549,8
58551,8
58672,1
58892,3
59112,7
59122,7
59127,7
59147,7
59446,4
59459,5
59570,7
59587,8
59708,3
59846,5
59973,5
60016,4
60024,8
60112,8
60263,6
60270,6
60322,5
60368,8
60960,7
61028,3
61050,7
61051,8
61244,8
61349,8
61436,2
61570,8
61614,8
61676,6
61757,3
61765,4
61775,8
61833,8
61852,7
61945,5
62004,7
62113,8
62125,7
62162,3
62233,8
62368,8
62440,2
62461,8
62507,8
62539,1
62544,8
62551,5
62576,8
62719,7
62846,8
62947,3
62976,8
63063,5
63066,8
63235,8
63275,8
63413,8
63491,8
63502,6
63590,8
63595,8
63674,8
63714,5
64042,8
64276,8
64312,4
64514,8
64564,8
64627,5
65086,8
65151,8
65177,6
65411,8
65456,8
65481,8
65509,2
65725,8
65807,2
66086,6
66198,1
66360,7
66451,7
66705,8
66815,5
66969,8
66973,8
66986,8
67011,8
67053,5
67223,8
67329,7
67332,8
67380,8
67387,2
67404,8
67572,8
67601,8
67714,8
67778,8
67824,7
67838,5
67941,5
68033,8
68074,7
68524,5
68646,1
68657,8
68723,8
68820,8
68839,5
68852,6
68867,8
69095,3
69097,3
69143,7
69279,8
69595,7
69736,7
69781,8
69958,7
70123,4
70347,5
70381,7
70457,7
70547,5
70555,1
70655,7
70709,8
70822,8
70869,7
70984,8
71012,4
71021,1
71022,8
71052,6
71137,8
71222,8
71275,8
71477,8
71515,8
71731,5
72040,8
72057,8
72071,1
72190,4
72432,5
72570,4
72623,8
72625,8
72674,8
72723,7
72780,8
72897,5
73047,8
73191,1
73264,8
73478,8
73531,7
73533,8
73613,7
73622,7
73725,7
73731,8
73857,8
73934,8
74003,8
74013,8
74091,8
74287,8
74356,1
74381,8
74424,8
74588,4
74715,8
74748,3
74750,7
74757,5
74758,8
74782,8
74985,8
75134,5
75183,7
75485,8
75732,7
75799,1
75831,6
76242,8
76266,7
76515,4
76519,8
76595,4
76734,5
76883,8
76898,4
76900,8
76981,8
77074,8
77259,8
77261,5
77266,6
77353,8
77513,5
77556,5
77590,2
77852,8
77903,3
77904,7
77909,1
77948,6
78033,5
78072,8
78256,8
78342,3
78429,8
78768,8
79027,2
3,7
54,6
309,8
553,8
582,5
596,5
625,8
694,8
800,7
978,7
988,7
1130,7
1208,2
1293,6
1361,8
1419,5
1428,8
1520,5
1530,6
1576,5
1618,4
1648,7
1683,2
1693,7
1823,8
1902,6
1942,6
2045,8
2087,8
2179,4
2275,2
2307,5
2524,5
2851,7
2935,8
3008,7
3199,3
3274,7
3327,7
3334,8
3498,7
3601,5
3753,5
3761,8
3792,7
3873,5
3879,8
3959,8
3969,7
3993,7
4061,8
4096,2
4201,6
4270,1
4411,2
4438,8
4503,5
4612,5
4646,5
4655,8
4669,8
4711,6
4753,8
4797,6
4870,7
4995,1
5055,5
5072,7
5093,6
5395,7
5432,6
5731,7
5776,8
6030,4
6090,6
6121,4
6143,3
6204,6
6260,4
6261,6
6347,5
6372,7
6390,6
6593,7
6663,7
6707,5
6709,8
6763,2
6832,6
6862,6
6950,8
7098,4
7169,3
7210,8
7295,7
7392,8
7394,8
7471,1
7511,8
7513,3
7530,7
7636,8
7811,6
7814,6
7914,8
7967,1
7975,6
8035,5
8072,5
8145,6
8172,2
8178,1
8350,5
8518,6
8554,6
8595,6
8621,7
8633,7
8972,7
8978,4
9090,5
9237,6
9291,8
9495,4
9512,8
9549,4
9714,6
9818,7
10073,5
10113,8
10117,5
10166,2
10206,2
10273,7
10291,7
10333,6
10536,8
10551,3
10633,3
10837,1
10846,4
10892,7
11050,7
11077,3
11088,6
11112,1
11203,5
11246,6
11258,7
11342,5
11386,8
11424,3
11725,5
11754,6
11947,5
12147,8
12182,1
12198,8
12209,4
12215,6
12230,8
12268,7
12417,7
12457,8
12681,7
12716,5
13080,7
13186,7
13271,5
13344,6
13371,6
13451,2
13454,1
13644,3
13732,8
13736,5
13756,6
13912,7
14016,8
14035,7
14124,5
14208,4
14228,2
14257,4
14260,6
14650,8
14849,5
14858,6
14898,8
15108,3
15113,3
15342,4
15416,5
15450,4
15494,8
15520,3
15572,6
15592,8
15656,5
15667,7
15781,7
15784,7
15824,6
15905,8
15925,4
15985,2
15988,8
16031,5
16044,2
16061,3
16081,6
16201,3
16259,7
16345,6
16392,4
16420,4
16507,7
16619,8
16927,8
17120,1
17213,4
17261,3
17287,6
17314,5
17458,6
17571,6
17670,7
17744,5
17752,1
17811,5
17830,8
17859,6
17941,4
18010,2
18034,5
18106,8
18111,6
18127,8
18223,5
18225,5
18285,8
18292,3
18443,8
18480,5
18509,6
18521,5
18549,2
18784,4
18819,5
18846,5
18957,3
19008,6
19010,8
19032,3
19073,2
19180,3
19594,5
19598,8
19642,3
19692,6
19748,5
19796,6
19907,3
19996,8
20125,5
20133,4
20146,8
20170,3
20204,8
20226,4
20240,8
20394,6
20487,5
20530,2
20579,1
20597,8
20666,5
20833,4
20887,3
20945,7
21061,8
21089,6
21221,2
21286,1
21340,2
21444,2
21559,1
21665,1
21666,1
21726,2
21953,8
22099,6
22226,4
22301,1
22346,1
22359,3
22428,2
22458,6
22547,6
22574,7
22588,5
22590,1
22815,8
22836,4
22879,6
22903,6
22934,8
23008,8
23041,3
23060,7
23141,1
23194,7
23247,5
23366,4
23429,8
23522,8
23581,3
23679,1
23681,5
23687,1
23704,3
23878,6
23935,6
24014,6
24076,7
24096,5
24213,7
24259,8
24380,1
24472,2
24500,2
24504,8
24529,6
24707,6
24715,7
24726,5
24776,4
24782,2
24926,5
24939,7
25031,6
25071,6
25097,6
25216,6
25373,7
25393,6
25442,5
25496,2
25502,4
25542,8
25613,5
25747,7
25812,6
25852,1
25886,8
25888,8
25931,8
26124,1
26274,5
26445,5
26462,7
26542,6
26798,6
26966,8
27148,7
27163,5
27205,3
27356,8
27383,5
27468,6
27494,8
27528,3
27577,7
27855,5
27927,6
27977,4
28031,1
28055,8
28363,8
28470,1
28533,7
28629,3
28654,4
28716,3
28791,8
29008,4
29071,8
29111,8
29166,3
29198,7
29215,6
29441,3
29456,1
29459,7
29491,3
29577,5
29629,1
29642,7
29650,6
29712,6
29861,4
29864,5
29947,4
29951,7
29952,6
29986,8
30035,6
30059,6
30071,5
30108,4
30187,8
30223,8
30414,5
30452,5
30475,8
30481,7
30516,8
30557,5
30639,3
30829,4
30909,6
30914,8
30917,5
30918,6
30950,8
30958,6
30967,8
31020,7
31137,8
31174,6
31188,7
31213,3
31276,6
31295,8
31389,8
31433,4
31499,7
31599,2
31686,5
31727,3
31966,8
32014,8
32048,8
32178,4
32253,6
32286,8
32453,8
32617,2
32657,7
32663,8
32777,8
32793,7
32964,8
32967,3
33203,3
33425,8
33526,5
33620,7
33729,8
33747,1
33804,5
33824,6
33841,8
34019,4
34081,6
34100,3
34183,5
34191,6
34209,7
34483,8
34750,8
34881,8
34949,8
34978,6
35038,8
35069,4
35103,8
35160,5
35172,8
35210,2
35218,8
35366,8
35376,6
35397,8
35506,7
35567,3
35613,6
35666,1
35758,7
35770,7
35917,5
36046,5
36066,8
36093,8
36094,1
36161,1
36172,1
36424,3
36466,8
36840,3
36897,1
36929,5
37199,1
37268,7
37271,6
37469,5
37497,5
37501,3
37646,8
37685,7
37967,5
38011,7
38028,8
38060,7
38328,8
38409,2
38505,7
38518,3
38642,8
38733,7
38927,6
39076,5
39228,3
39319,7
39414,6
39432,3
39466,5
39475,7
39477,1
39504,1
39786,4
39867,7
40043,6
40146,6
40182,3
40434,6
40538,3
40574,1
40579,8
40599,8
40624,4
40658,8
40693,8
40823,6
40907,5
40929,4
40971,7
40993,4
41015,7
41046,4
41242,5
41260,8
41410,8
41478,8
41485,7
41647,5
41708,8
41882,6
42019,7
42102,6
42200,3
42403,5
42440,2
42577,3
42612,2
42618,2
42732,6
42829,7
42837,3
42861,3
42883,8
42936,6
42937,6
42959,3
42993,7
43002,8
43103,2
43105,1
43352,1
43403,3
43428,8
43497,6
43552,7
43599,4
43624,6
43646,3
43741,5
43811,8
43892,2
43967,7
43972,7
44003,6
44038,1
44041,8
44103,7
44119,5
44132,7
44133,7
44216,8
44294,8
44466,3
44515,5
44644,3
44653,4
44671,6
44692,6
44992,5
45032,7
45095,2
45175,4
45295,5
45325,3
45450,5
45460,4
45472,1
45576,3
45727,2
45771,8
45774,5
45797,4
45846,7
45852,5
45869,4
45879,6
45895,6
45987,7
46093,8
46181,6
46218,5
46305,8
46371,6
46406,8
46437,3
46467,8
46669,7
46727,3
46881,4
46892,6
46897,7
46931,2
46973,8
47050,7
47102,3
47110,8
47118,2
47128,5
47239,8
47296,6
47303,7
47340,2
47421,8
47429,6
47629,8
47641,1
47643,7
47651,8
47741,5
47747,6
47959,6
47992,7
48075,8
48162,5
48254,5
48293,8
48418,1
48727,6
48736,8
48774,1
48911,7
49583,8
49685,3
49966,3
49973,3
49982,5
50157,4
50345,2
50361,7
50546,8
50575,4
50649,8
50678,1
50705,7
50803,1
50893,7
50931,1
51014,8
51083,8
51105,6
51137,6
51201,7
51329,8
51599,2
51684,3
51736,8
51751,4
51801,6
51945,5
51954,6
51973,3
52031,8
52047,5
52143,7
52176,8
52207,6
52340,6
52489,7
52561,6
52606,1
52699,6
52793,5
52951,6
52976,8
53066,8
53154,6
53187,8
53202,7
53294,8
53316,3
53334,3
53438,7
53480,7
53533,6
53675,2
53727,2
53862,5
53957,7
53958,5
53959,8
54009,7
54028,8
54139,4
54149,3
54163,8
54169,6
54194,4
54409,1
54492,8
54551,2
54618,8
54800,7
54866,8
54879,2
55007,5
55029,2
55199,1
55381,8
55401,7
55490,7
55491,2
55580,2
55668,3
55709,3
55842,8
55853,8
55872,6
55978,5
56035,1
56050,3
56107,8
56111,6
56132,6
56146,7
56155,1
56160,1
56216,2
56288,3
56328,7
56349,4
56485,8
56529,1
56586,4
56624,6
56804,8
56819,7
56836,7
56866,5
56945,4
56950,7
56973,1
57017,1
57064,6
57072,5
57128,5
57319,4
57332,7
57379,5
57405,2
57485,1
57549,5
57566,8
57737,8
57750,8
58059,6
58086,6
58334,6
58380,6
58598,5
58615,8
59062,8
59277,3
59400,1
59406,8
59523,8
59607,5
59656,5
59690,8
59739,7
59782,6
59788,6
59821,7
59888,1
59969,6
59983,8
59992,5
60001,6
60048,6
60128,7
60358,2
60403,3
60501,8
60600,1
60621,7
60646,2
60739,7
60752,4
60802,7
60824,4
60843,2
60945,3
61002,8
61040,3
61082,8
61190,2
61227,7
61388,6
61446,8
61450,5
61464,8
61523,5
61524,1
61653,7
61740,5
61960,7
62145,7
62290,7
62304,5
62400,7
62484,5
62505,5
62511,5
62556,8
62566,5
62657,6
62671,6
62685,6
62999,8
63007,7
63122,4
63299,5
63309,7
63336,5
63427,4
63442,8
63473,2
63515,1
63527,2
63689,7
63731,7
63732,8
63772,6
63801,6
63807,5
63837,3
63912,7
63945,7
64103,2
64157,2
64208,7
64243,1
64258,5
64296,3
64379,2
64394,8
64412,5
64630,3
64679,7
64720,8
64817,7
64848,7
64881,2
64944,5
65009,7
65137,4
65162,7
65324,7
65394,8
65438,3
65463,5
65465,3
65602,6
65621,7
65819,4
65831,7
65980,3
66012,8
66091,8
66141,6
66352,5
66484,8
66604,8
66663,7
66913,3
66976,6
67026,6
67066,6
67110,3
67218,7
67239,7
67252,2
67304,6
67335,5
67373,3
67385,8
67440,8
67478,7
67479,2
67653,8
67660,8
67705,7
67843,7
67847,8
67925,6
67985,1
68239,3
68241,5
68252,8
68264,8
68267,7
68320,6
68360,8
68499,8
